subsystem,path,classification,notes
moodify-bridge,moodify-bridge/,PHASE1_SUPPORT,研究-生产桥
moodify-pulse,moodify-pulse/,LEGACY,Electron 仪表盘产物
moodify-app,moodify-app/,LEGACY,早期单体残留
moodify-system,moodify-system/,LEGACY,早期单体残留
deploy 部署,deploy/,PHASE1_CORE,Dockerfile/deploy.sh/nginx
scripts 运维,scripts/,PHASE1_SUPPORT,40+ 脚本；demo_* 可归档
07Music 素材,07Music/,LEGACY,音乐素材 MP3
pre-music 素材,pre-music/,LEGACY,素材
RJWC_VideoPack_System,RJWC_VideoPack_System/,LEGACY,已交付资产
phys-lab,phys-lab/,LEGACY,研究
night 夜间系统,night/,LEGACY,研究自动化
listening_test,listening_test/,LEGACY,听测数据
experiments,experiments/,LEGACY,研究实验
science,science/,LEGACY,研究资产
scratch,scratch/,LEGACY,临时
calibration_reports,calibration_reports/,LEGACY,校准报告
inspector_reports,inspector_reports/,LEGACY,检查报告
CWC 规格文档,docs/DEEPSEEK_TASK_CWC_CREATOR_PASS.md,PHASE2_FROZEN,需归档/标记 FROZEN
工程记录 docs/echain,docs/echain/,PHASE1_SUPPORT,17 份活跃记录
工程记录 e_chain,e_chain/,LEGACY,与 docs/echain 重复 2 份
artifacts/ocean_bridge,artifacts/ocean_bridge/,PHASE1_EXPERIMENTAL,git 未跟踪
artifacts/audits,artifacts/audits/,PHASE1_SUPPORT,审计记录
artifacts/temporal_texture,artifacts/temporal_texture/,PHASE1_EXPERIMENTAL,临时验证工作区
artifacts/verification,artifacts/verification/,PHASE1_SUPPORT,验证记录
schemas,schemas/,PHASE1_SUPPORT,JSON schema
cloud_data,cloud_data/,UNKNOWN_REQUIRES_REVIEW,云端数据
cloud_status.py,cloud_status.py,UNKNOWN_REQUIRES_REVIEW,云端状态脚本
deliverables,deliverables/,UNKNOWN_REQUIRES_REVIEW,交付物
outputs,outputs/,GENERATED,输出目录
reports,reports/,GENERATED,报告输出
