id,domain,capability,claimed_state,observed_state,main_status,canonical_relevance,code_ref,runtime_ref,evidence_ref,authority_conflict,confidence,notes
TT-028,repo,云端部署产物,"tar 发布","无 git 身份",DEPLOYED_NOT_VERIFIED,UNCLEAR,/opt/moodify/releases (LA),LA,raw_scan LA,false,MEDIUM,
TT-030,cloud,LA 节点,"核心节点运行","6 服务+audiolla 容器",VERIFIED,CURRENT,,103.144.246.242,raw_scan/LA,false,HIGH,
TT-031,cloud,杭州节点,"worker+API 运行","2C/1.6G 4 timers",VERIFIED,CURRENT,,120.55.191.146,raw_scan/HZ,false,HIGH,
TT-032,cloud,腾讯云三台,"已删除","2026-08-12 删除",OBSOLETE,LEGACY,,不存在,用户确认 2026-08-12,false,HIGH,
TT-033,database,PolarDB MySQL 172.27.118.106,"空壳","空壳(黑箱调查)",BLOCKED,LEGACY,,pc-bp1112f8t24wdta5t,MOODIFY_CLOUD_CURRENT_STATE,false,MEDIUM,直接核验凭据不符
TT-034,database,PolarDB MySQL 172.27.118.104,"moodify_dev 19 表","≈0 数据(黑箱调查)",BLOCKED,CURRENT,,pc-bp19502y46246gv6n,MOODIFY_CLOUD_CURRENT_STATE,false,MEDIUM,
TT-035,database,PolarDB PG 101.133.107.206,"在线未用","未确认内容",BLOCKED,LEGACY,,pc-uf65m4xqwst72vq5a,MOODIFY_CLOUD_CURRENT_STATE,false,LOW,
TT-036,storage,OSS,"计划中","NOT_PROVISIONED",PLANNED_ONLY,UNCLEAR,,,黑箱调查 §11,false,HIGH,
TT-037,storage,SQLite 队列,"LA 16KB 近空","历史 pilot 数据",DEPLOYED_NOT_VERIFIED,CURRENT,,LA/杭州 /var/lib/moodify,raw_scan LA/HZ,false,HIGH,
TT-038,external,audiolla 容器,"已部署健康","无自动 pipeline",DEPLOYED_NOT_VERIFIED,EXPERIMENTAL,,LA docker,raw_scan LA,false,HIGH,
TT-039,external,Cloudflare 隧道,"运行","LA cloudflared",VERIFIED,CURRENT,,LA,raw_scan LA,false,HIGH,
TT-040,cloud,云端 AI 推理,"无","无模型无 GPU",PLANNED_ONLY,UNCLEAR,,,黑箱调查 §6,false,HIGH,
TT-050,data,真实歌曲 pre-music,"~7 首 owned","法语曲目库",VERIFIED,CURRENT,,,pre-music/,false,HIGH,无统一 hash 注册表
TT-051,data,lalalai 分轨,"多次尝试","split zip 产物",VERIFIED,EXPERIMENTAL,,,pre-music/*/split zip,false,HIGH,同曲多版本
TT-052,data,data_factory cases,"4 case","cases.jsonl+pairwise",VERIFIED,CURRENT,,,outputs/data_factory/,false,HIGH,
TT-053,data,golden_run_out,"PROMISING_NOT_GOLDEN","golden_record 存在",VERIFIED,CURRENT,,,moodify-core-package/golden_run_out/,false,HIGH,人类聆听未做
TT-054,data,artifacts 证据库,"59 子目录","多数 FINAL_RESPONSE",VERIFIED,CURRENT,,,artifacts/,false,HIGH,
TT-055,data,listening_test,"34 文件","结果 DATA_PENDING",UNKNOWN,EXPERIMENTAL,,,listening_test/,false,MEDIUM,
TT-056,external,LALAL.AI,"audiolla 代理","已部署未接 pipeline",DEPLOYED_NOT_VERIFIED,EXPERIMENTAL,,LA,raw_scan LA,false,HIGH,外部状态=CONNECTED_UNTESTED
TT-057,external,FFmpeg,"双节点部署","8.0.1 / 4.4.2",DEPLOYED_NOT_VERIFIED,CURRENT,,杭州/LA,raw_scan,false,HIGH,外部状态=PRODUCTION_USED(工具存在)
TT-058,external,Demucs,"权重未下载","无运行",PLANNED_ONLY,UNCLEAR,,,,false,HIGH,外部状态=UNAVAILABLE
TT-059,external,Basic Pitch,"工具代码","无运行进程",IMPLEMENTED_NOT_MERGED,UNCLEAR,,LA capabilities,raw_scan LA,false,MEDIUM,外部状态=EXPERIMENTAL
TT-060,data,反馈学习闭环,"不存在","无反馈采集",PLANNED_ONLY,UNCLEAR,,,黑箱调查 §28,false,HIGH,
TT-061,data,云端完整 Ear 链路,"仅代码","无生产流量",PLANNED_ONLY,UNCLEAR,,,黑箱调查 §5,false,HIGH,
