requirement_id,principle,requirement,status,confidence,code_evidence,test_evidence,runtime_evidence,risk,recommended_action,priority
EV-04,Evidence,Approval identity/timestamp,ABSENT,HIGH,"No CLI-v2 approval evidence","No test","Unapproved evidence generated","False trust","Mandatory approval record",P0
EV-05,Evidence,Before/after/delta/spectral/loudness/peak,PARTIAL,HIGH,"v01 delivery and spectral package separate","v01 tests","CLI-v2 evidence only output peak/format/hash","Evidence fragmentation","Aggregate canonical measurement protocol",P1
EV-06,Evidence,Verification result mandatory before success,CONTRADICTED,HIGH,"run.execute writes completed before run.verify","CLI-v2 test calls verify later","completed returned before verification","Failed verification can follow success","Use APPLIED then VERIFIED/PACKAGED only after gates",P0
EV-07,Evidence,Failed evidence write blocks packaged status,CONTRADICTED,HIGH,"app.evidence writes empty bundle with limitations","No failure injection test","Missing source bundle written exit 0","Empty evidence can look valid","Fail closed and mark INCOMPLETE",P0
EV-08,Evidence,Self-contained linked package,ABSENT,HIGH,"Separate project/render/spectral/Bridge outputs","No E2E package test","Observed run directory lacks spec/approval/analysis/delta","No end-to-end auditability","Build immutable production-case manifest",P0
EX-01,Execution,Adapter interface exists,PARTIAL,HIGH,"ports/processing.py and cli_daw/adapters","Adapter smoke claims only","Duplicate interfaces and evidence types","Engine semantics unstable","One executor port and conformance suite",P2
EX-02,Execution,Two adapters preserve plan/approval semantics,UNVERIFIABLE,HIGH,"No shared approval/evidence semantics","No conformance test","No approved action tested across two adapters","Replaceability is architectural claim only","Test one action with two adapters/test double",P2
EX-03,Execution,Missing engine explicit,PARTIAL,HIGH,"adapter.probe methods","No full matrix test","SoX/Rubber Band not on current shell PATH","Environment-dependent availability","Central capability registry",P1
EX-04,Execution,Unsupported action rejected early,CONTRADICTED,HIGH,"SoXAdapter unknown action becomes no effects","No negative test","Static trace","Silent no-op may be called success","Validate capabilities before subprocess",P0
CLI-01,CLI,Noninteractive structured CLI,IMPLEMENTED,HIGH,"cli_v2 emits one JSON object","CLI-v2 tests","Subprocess capture completed without prompts","Limited command coverage","Retain response envelope",P2
CLI-02,CLI,Machine-readable errors and nonzero exits,IMPLEMENTED,HIGH,"CLIError/_emit","CLI-v2 tests","Malformed JSON exit 2 with JSON stderr","Exit catalog not fully documented","Publish stable error catalog",P2
CLI-03,CLI,JSON input,PARTIAL,HIGH,"--intent accepts JSON object/file","Malformed JSON test","Intent accepted but no canonical spec input","Agent cannot submit full case","Add versioned request schemas",P1
CLI-04,CLI,Batch/status/recovery/evidence export,ABSENT,HIGH,"No CLI-v2 commands","No tests","Capabilities command does not supply lifecycle","Cannot operate production fleet","Add lifecycle commands after invariant",P3
CLI-05,CLI,Agent ten-step contract,ABSENT,HIGH,"No analyze/approve/reject/export commands in CLI-v2","No agent E2E test","Runtime trace skips specification/analysis/approval","Not Agent-native at product level","Implement stable case-state API",P1
HA-01,Authority,Real human approval required,CONTRADICTED,HIGH,"Domain model exists but run path ignores it","Domain tests fail collection","Unapproved output/evidence generated","Machine silently determines execution","Mandatory authenticated human decision",P0
HA-02,Authority,Artistic vs technical judgment separated,PARTIAL,MEDIUM,"Some docs/domain concepts distinguish them","No enforcement test","CLI uses only technical verification","Technical success could be overread","Separate ARTISTIC_APPROVED and TECHNICALLY_VERIFIED",P0
TR-01,Triage,Defect origin/correctability/stop states,ABSENT,HIGH,"No canonical triage schema in execution path","No test","Every valid asset can receive gain plan","Unprocessable work is processed","Add diagnosis disposition and stop gate",P1
SI-01,Integrity,Source never overwritten,IMPLEMENTED,HIGH,"new output dir and OUTPUT_EXISTS guard","CLI-v2/v01 tests","Source hash unchanged for normal run","Other legacy paths not exhaustively traced","Audit every writer",P1
SI-02,Integrity,Atomic finalization and incomplete state,PARTIAL,HIGH,"project writes atomic; renderer writes directly to final dir","No interruption test","Failure simulation not completed","Partial artifacts may persist","Stage then atomically promote",P1
RP-01,Reproducibility,Version-pinned deterministic replay,ABSENT,HIGH,"UUID/timestamps and unpinned binaries; no engine lock","No tolerance test","Repeated render hashes equal but creates new run","No production reproducibility contract","Record environment and define tolerances",P1
DC-01,Documentation,Claims agree with runtime,CONTRADICTED,HIGH,"README/intent/task handoffs conflict with current package and gates","No doc-contract test","Installed moodify=0.1.0 vs pyproject=2.0.0","Users may trust nonexistent safeguards","Make docs generated from capability contract",P0
PC-01,Traceability,Stable production case links all artifacts,ABSENT,HIGH,"project_id/run_id separate from Bridge case_id","No cross-system test","Observed package has no spec/approval link","Cannot prove chain of custody","Canonical immutable case registry",P0
