requirement_id,claim_id,chapter,categories,component_candidates,source_path,implementation_status,verification_status
REQ-00105,EAR1-C02-0039,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00106,EAR1-C02-0040,2,human_authority,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00107,EAR1-C02-0046,2,human_authority,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00108,EAR1-C02-0048,2,human_authority,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00109,EAR1-C02-0049,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00110,EAR1-C02-0050,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00111,EAR1-C02-0052,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00112,EAR1-C02-0053,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00113,EAR1-C02-0058,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00114,EAR1-C02-0063,2,verification,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00115,EAR1-C02-0067,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00116,EAR1-C02-0068,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00117,EAR1-C02-0069,2,failure_recovery,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00118,EAR1-C02-0070,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00119,EAR1-C02-0074,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00120,EAR1-C02-0075,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00121,EAR1-C02-0076,2,measurement;human_authority,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00122,EAR1-C02-0078,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00123,EAR1-C02-0079,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00124,EAR1-C02-0081,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00125,EAR1-C02-0083,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00126,EAR1-C02-0084,2,measurement;verification,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00127,EAR1-C02-0091,2,measurement;evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00128,EAR1-C02-0095,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00129,EAR1-C02-0096,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00130,EAR1-C02-0098,2,measurement;evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00131,EAR1-C02-0100,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00132,EAR1-C02-0101,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00133,EAR1-C02-0102,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00134,EAR1-C02-0105,2,human_authority,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00135,EAR1-C02-0112,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00136,EAR1-C02-0115,2,evidence;human_authority,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00137,EAR1-C02-0116,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00138,EAR1-C02-0121,2,evidence,COMP-008;COMP-009,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00139,EAR1-C02-0123,2,measurement;evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00140,EAR1-C02-0133,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00141,EAR1-C02-0137,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00142,EAR1-C02-0138,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00143,EAR1-C02-0143,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00144,EAR1-C02-0145,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00145,EAR1-C02-0148,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00146,EAR1-C02-0149,2,measurement;human_authority,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00147,EAR1-C02-0150,2,measurement;evidence;verification,COMP-002;COMP-009;COMP-010,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00148,EAR1-C02-0152,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00149,EAR1-C02-0155,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00150,EAR1-C02-0157,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00151,EAR1-C02-0160,2,verification,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00152,EAR1-C02-0162,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00153,EAR1-C02-0164,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00154,EAR1-C02-0166,2,measurement;evidence,COMP-008,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00155,EAR1-C02-0169,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00156,EAR1-C02-0170,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00157,EAR1-C02-0172,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00158,EAR1-C02-0175,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00159,EAR1-C02-0176,2,measurement;evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00160,EAR1-C02-0177,2,human_authority,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00161,EAR1-C02-0179,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00162,EAR1-C02-0181,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00163,EAR1-C02-0182,2,evidence;verification,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00164,EAR1-C02-0183,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
