status,path,domain_first_pass,action_first_pass,manual_action,canonical_target,evidence_tests,notes
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/ProcessingScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/ProfileScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/PublishWorkScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/SearchScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/SupportScreens.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/UploadFlowScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/WorkDetailScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/WorksScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/theme/Color.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/theme/Theme.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/theme/Type.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/values-fr/strings.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/values-ja/strings.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/values-ko/strings.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/values-zh-rCN/strings.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/values-zh-rTW/strings.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/values/icon_colors.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/values/strings.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/values/styles.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/res/xml/locales_config.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/java/com/moodify/app/data/CwcRepositoryTest.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/java/com/moodify/app/data/LocaleKitTest.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/java/com/moodify/app/data/MoodifyApiClientTest.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/java/com/moodify/app/i18n/LocaleStoreFormatTest.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/java/com/moodify/app/i18n/StringKeyParityTest.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/java/com/moodify/app/ui/components/MiniPlayerGestureLogicTest.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/resources/i18n/en-US.json,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/resources/i18n/fr-FR.json,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/resources/i18n/ja-JP.json,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/resources/i18n/ko-KR.json,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/resources/i18n/zh-CN.json,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/test/resources/i18n/zh-TW.json,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/build.gradle.kts,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/gradle.properties,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/gradle/wrapper/gradle-wrapper.jar,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/gradle/wrapper/gradle-wrapper.properties,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/gradlew,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/gradlew.bat,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/settings.gradle.kts,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/tools/audacity_cli.py,UNKNOWN,HUMAN_DECISION,HUMAN_DECISION,unresolved,Requires manual classification in a scoped follow-up,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/bridge_tests.xml,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/bridge_tests.xml,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/commands_executed.md,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/core_runnable_tests.xml,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/core_tests.xml,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/environment_summary.md,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/run_audit_exercises.py,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/runtime/duplicate_apply/render_evidence.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/runtime/missing_evidence_bundle/evidence_bundle.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/runtime/project/project.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/runtime/unapproved_apply/render_evidence.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/codex/runtime_exercises.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/core_runnable_tests.xml,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/core_tests.xml,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/run_audit_exercises.py,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/runtime/duplicate_apply/render_evidence.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/runtime/missing_evidence_bundle/evidence_bundle.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/runtime/project/project.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/runtime/unapproved_apply/render_evidence.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/audits/product_alignment/runtime_exercises.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/.gitkeep,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/CHANGELOG.md,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/PATCH.diff,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/UNRESOLVED.md,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/VERIFICATION.md,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/after/pytest-core-full.txt,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/after/pytest-runtime.txt,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/after/report.json,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/after/report.md,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/before/HEAD.txt,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/before/git-status.txt,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/before/known-failures.md,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/before/public-behavior.md,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/before/pytest-core-full.txt,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
A,artifacts/temporal_texture/before/pytest-full.txt,GENERATED_ARTIFACT,DELETE_LATER,DELETE_LATER,none,Generated evidence/output; preserve only hashes or selected records,First-pass decision; high-value subsystems are reviewed in companion reports.
